    3.707110173775341E-03    2.182982409537085E+05    7.276608027837509E+05    7.276608046875411E+05    1.528087680463181E+06    1.528087692298618E+06    1.528087692371209E+06    2.619578879219654E+06    2.619578887504642E+06    2.619578904261020E+06    2.619578908621175E+06
    1.242375481435687E-02    1.943638444309196E+04    6.478794792979866E+04    6.478794809930444E+04    1.360546900891049E+05    1.360546911428840E+05    1.360546911493473E+05    2.332366113864594E+05    2.332366121241212E+05    2.332366136160401E+05    2.332366140042506E+05
    2.611346404772341E-02    4.399388178980353E+03    1.466462646005967E+04    1.466462649842696E+04    3.079571508274745E+04    3.079571532126825E+04    3.079571532273131E+04    5.279265415239718E+04    5.279265431936550E+04    5.279265465705848E+04    5.279265474492922E+04
    4.476153143535821E-02    1.497309706115543E+03    4.991030013590081E+03    4.991030026648186E+03    1.048116188969401E+04    1.048116197087334E+04    1.048116197137124E+04    1.796770537028383E+04    1.796770542711058E+04    1.796770554204265E+04    1.796770557194896E+04
    6.834918091594488E-02    6.421791094104858E+02    2.140591580040357E+03    2.140591585640812E+03    4.495239732886705E+03    4.495239767703484E+03    4.495239767917027E+03    7.706123583327925E+03    7.706123607700221E+03    7.706123656993118E+03    7.706123669819573E+03
    9.685284638991742E-02    3.198179348182412E+02    1.066048838285703E+03    1.066048841074811E+03    2.238697393264631E+03    2.238697410603892E+03    2.238697410710240E+03    3.837763607413684E+03    3.837763619551431E+03    3.837763644100004E+03    3.837763650487761E+03
    1.302440949616983E-01    1.768585119050893E+02    5.895085819314085E+02    5.895085834737264E+02    1.237958687763048E+03    1.237958697351297E+03    1.237958697410105E+03    2.122208833635089E+03    2.122208840347009E+03    2.122208853921854E+03    2.122208857454152E+03
    1.684896327959056E-01    1.056898266916139E+02    3.522663019060382E+02    3.522663028276410E+02    7.397436175846425E+02    7.397436233140382E+02    7.397436233491799E+02    1.268121776258074E+03    1.268121780268741E+03    1.268121788380305E+03    1.268121790491006E+03
    2.115513315951292E-01    6.705553747711716E+01    2.234662451803855E+02    2.234662457649852E+02    4.692544985470140E+02    4.692545021813392E+02    4.692545022036303E+02    8.044202991822669E+02    8.044203017263503E+02    8.044203068717542E+02    8.044203082106338E+02
    2.593862641882341E-01    4.462259355886302E+01    1.486634836790218E+02    1.486634840678846E+02    3.121563099493104E+02    3.121563123667814E+02    3.121563123816088E+02    5.351010734375114E+02    5.351010751297788E+02    5.351010785523860E+02    5.351010794429789E+02
    3.119467463224073E-01    3.087771675904952E+01    1.028121932419751E+02    1.028121935108368E+02    2.158520841241493E+02    2.158520857956027E+02    2.158520858058551E+02    3.699973901438450E+02    3.699973913138886E+02    3.699973936802994E+02    3.699973942960597E+02
    3.691803837388559E-01    2.207936071111991E+01    7.343885915046617E+01    7.343885934242712E+01    1.541466418883433E+02    1.541466430817215E+02    1.541466430890411E+02    2.642027094518610E+02    2.642027102872441E+02    2.642027119768042E+02    2.642027124164435E+02
    4.310301241737911E-01    1.624041885715661E+01    5.391797803319979E+01    5.391797817402312E+01    1.131255706397506E+02    1.131255715152184E+02    1.131255715205880E+02    1.938631970634992E+02    1.938631976763398E+02    1.938631989158092E+02    1.938631992383300E+02
    4.974343141092525E-01    1.224782692012812E+01    4.053740866636859E+01    4.053740877210359E+01    8.499246540757409E+01    8.499246606490475E+01    8.499246606893642E+01    1.456129974340843E+02    1.456129978942260E+02    1.456129988248612E+02    1.456129990670208E+02
    5.683267601635169E-01    9.449557634903726E+00    3.112169757617213E+01    3.112169765717379E+01    6.517791726278763E+01    6.517791776635667E+01    6.517791776944541E+01    1.116182169171744E+02    1.116182172696805E+02    1.116182179826235E+02    1.116182181681375E+02
    6.436367950347988E-01    7.448816920846951E+00    2.434607667899921E+01    2.434607674215433E+01    5.089891326942973E+01    5.089891366205075E+01    5.089891366445892E+01    8.710732686555707E+01    8.710732714039797E+01    8.710732769626279E+01    8.710732784090386E+01
    7.232893479200486E-01    5.996093907133200E+00    1.937664095286448E+01    1.937664100287554E+01    4.040321474536690E+01    4.040321505627440E+01    4.040321505818137E+01    6.907581542196674E+01    6.907581563960660E+01    6.907581607978329E+01    6.907581619432112E+01
    8.072050193321232E-01    4.929982918393573E+00    1.567309978620567E+01    1.567309982635904E+01    3.255514046888405E+01    3.255514071850877E+01    3.255514072003984E+01    5.557610507668676E+01    5.557610525142793E+01    5.557610560484163E+01    5.557610569680296E+01
    8.953001602371797E-01    4.143471545794767E+00    1.287641570640629E+01    1.287641573904646E+01    2.659961358399088E+01    2.659961378690768E+01    2.659961378815225E+01    4.531306526817600E+01    4.531306541022082E+01    4.531306569750632E+01    4.531306577226059E+01
    9.874869554313745E-01    3.564076355107079E+00    1.074260227667386E+01    1.074260230350427E+01    2.202314293733164E+01    2.202314310413025E+01    2.202314310515330E+01    3.740569841075438E+01    3.740569852751599E+01    3.740569876366619E+01    3.740569882511455E+01
    1.083673511072567E+00    3.141782370581270E+00    9.102534905799093E+00    9.102534928077963E+00    1.846943168604604E+01    1.846943182454878E+01    1.846943182539829E+01    3.124247277249810E+01    3.124247286945216E+01    3.124247306554155E+01    3.124247311656573E+01
    1.183763946279038E+00    2.841522035696241E+00    7.836893521339701E+00    7.836893540010377E+00    1.568676294781824E+01    1.568676306388965E+01    1.568676306460158E+01    2.639113036640016E+01    2.639113044765191E+01    2.639113061198334E+01    2.639113065474389E+01
